# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Tue Nov 16 10:52:10 2021
#
# Command line:   ./nu-tmp-gFe14 -f 4 -a PARAM_SCAN --no-ih --bf-spectrum -p DM41,-2.,2.,20,LOGSCALE -p s22thmue,-4.,0.,20,LOGSCALE -p Um4,0.025,0.775,15 -e MUBOONE 
#
# Computing slice 1 of 1 in parallel environment.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   MUBOONE
# Including the following AEDL files:
#
# AEDL variables:
#
# External analysis routines included:
#   microBooNE
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    20  0x1
#     s22thmue,         -4,          0,    20  0x1
#          Um4,      0.025,      0.775,    15  0x0
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x2
#
# Initializing microBooNE code ...
# Flags in MicroBooNE code: OSC_NO_NUBAR OSC_NO_NUMU MUBOONE_SENSITIVITY 
# General parameter scan
#
#                  DM41        s22thmue             Um4       chi2_NH          chi2_IH
                     -2              -4           0.025 1.580870226e-07           1e+50
                     -2              -4           0.075 1.678322794e-07           1e+50
                     -2              -4           0.125 1.655241787e-07           1e+50
                     -2              -4           0.175 1.609856066e-07           1e+50
                     -2              -4           0.225 1.548069321e-07           1e+50
                     -2              -4           0.275  1.47179676e-07           1e+50
                     -2              -4           0.325 1.382494551e-07           1e+50
                     -2              -4           0.375 1.281672548e-07           1e+50
                     -2              -4           0.425 1.171007881e-07           1e+50
                     -2              -4           0.475 1.052398034e-07           1e+50
                     -2              -4           0.525 9.279540175e-08           1e+50
                     -2              -4           0.575  8.00020852e-08           1e+50
                     -2              -4           0.625 6.711787881e-08           1e+50
                     -2              -4           0.675 5.442458343e-08           1e+50
                     -2              -4           0.725 4.222827027e-08           1e+50
                     -2              -4           0.775 3.085965715e-08           1e+50
                     -2            -3.8           0.025  1.59047875e-07           1e+50
                     -2            -3.8           0.075 1.757019616e-07           1e+50
                     -2            -3.8           0.125 1.738816381e-07           1e+50
                     -2            -3.8           0.175 1.693627199e-07           1e+50
                     -2            -3.8           0.225 1.630623677e-07           1e+50
                     -2            -3.8           0.275 1.552344737e-07           1e+50
                     -2            -3.8           0.325 1.460438159e-07           1e+50
                     -2            -3.8           0.375 1.356491226e-07           1e+50
                     -2            -3.8           0.425 1.242224986e-07           1e+50
                     -2            -3.8           0.475 1.119553625e-07           1e+50
                     -2            -3.8           0.525 9.906184292e-08           1e+50
                     -2            -3.8           0.575 8.577806705e-08           1e+50
                     -2            -3.8           0.625 7.236399321e-08           1e+50
                     -2            -3.8           0.675 5.910355584e-08           1e+50
                     -2            -3.8           0.725 4.630522677e-08           1e+50
                     -2            -3.8           0.775 3.430255568e-08           1e+50
                     -2            -3.6           0.025 1.598011894e-07           1e+50
                     -2            -3.6           0.075  1.87777306e-07           1e+50
                     -2            -3.6           0.125 1.867934785e-07           1e+50
                     -2            -3.6           0.175 1.823354932e-07           1e+50
                     -2            -3.6           0.225   1.7586759e-07           1e+50
                     -2            -3.6           0.275 1.677483634e-07           1e+50
                     -2            -3.6           0.325 1.581743706e-07           1e+50
                     -2            -3.6           0.375 1.473170558e-07           1e+50
                     -2            -3.6           0.425 1.353549935e-07           1e+50
                     -2            -3.6           0.475 1.224838343e-07           1e+50
                     -2            -3.6           0.525 1.089196891e-07           1e+50
                     -2            -3.6           0.575 9.490219755e-08           1e+50
                     -2            -3.6           0.625 8.069350285e-08           1e+50
                     -2            -3.6           0.675 6.658014311e-08           1e+50
                     -2            -3.6           0.725  5.28734295e-08           1e+50
                     -2            -3.6           0.775 3.991015318e-08           1e+50
                     -2            -3.4           0.025  1.59958687e-07           1e+50
                     -2            -3.4           0.075  2.06718039e-07           1e+50
                     -2            -3.4           0.125 2.072002291e-07           1e+50
                     -2            -3.4           0.175 2.028931967e-07           1e+50
                     -2            -3.4           0.225 1.961982054e-07           1e+50
                     -2            -3.4           0.275 1.876534309e-07           1e+50
                     -2            -3.4           0.325 1.775096992e-07           1e+50
                     -2            -3.4           0.375 1.659601309e-07           1e+50
                     -2            -3.4           0.425 1.531936905e-07           1e+50
                     -2            -3.4           0.475 1.394121569e-07           1e+50
                     -2            -3.4           0.525 1.248362681e-07           1e+50
                     -2            -3.4           0.575 1.097081249e-07           1e+50
                     -2            -3.4           0.625 9.429398908e-08           1e+50
                     -2            -3.4           0.675 7.888326828e-08           1e+50
                     -2            -3.4           0.725 6.379056868e-08           1e+50
                     -2            -3.4           0.775 4.935623878e-08           1e+50
                     -2            -3.2           0.025 1.587583645e-07           1e+50
                     -2            -3.2           0.075 2.372117283e-07           1e+50
                     -2            -3.2           0.125 2.403420727e-07           1e+50
                     -2            -3.2           0.175 2.363847147e-07           1e+50
                     -2            -3.2           0.225 2.293944557e-07           1e+50
                     -2            -3.2           0.275 2.202277092e-07           1e+50
                     -2            -3.2           0.325 2.092314662e-07           1e+50
                     -2            -3.2           0.375  1.96636415e-07           1e+50
                     -2            -3.2           0.425 1.826494275e-07           1e+50
                     -2            -3.2           0.475 1.674822027e-07           1e+50
                     -2            -3.2           0.525 1.513618892e-07           1e+50
                     -2            -3.2           0.575 1.345357794e-07           1e+50
                     -2            -3.2           0.625 1.172731771e-07           1e+50
                     -2            -3.2           0.675 9.986820673e-08           1e+50
                     -2            -3.2           0.725 8.263870259e-08           1e+50
                     -2            -3.2           0.775 6.592842251e-08           1e+50
                     -2              -3           0.025 1.546920604e-07           1e+50
                     -2              -3           0.075 2.878773939e-07           1e+50
                     -2              -3           0.125 2.959805673e-07           1e+50
                     -2              -3           0.175 2.928205743e-07           1e+50
                     -2              -3           0.225 2.854849225e-07           1e+50
                     -2              -3           0.275 2.754170499e-07           1e+50
                     -2              -3           0.325 2.631409035e-07           1e+50
                     -2              -3           0.375 2.489560335e-07           1e+50
                     -2              -3           0.425 2.331012288e-07           1e+50
                     -2              -3           0.475 2.158052314e-07           1e+50
                     -2              -3           0.525 1.973054686e-07           1e+50
                     -2              -3           0.575 1.778562848e-07           1e+50
                     -2              -3           0.625 1.577325527e-07           1e+50
                     -2              -3           0.675 1.372319039e-07           1e+50
                     -2              -3           0.725 1.166754926e-07           1e+50
                     -2              -3           0.775  9.64099003e-08           1e+50
                     -2            -2.8           0.025 1.445314424e-07           1e+50
                     -2            -2.8           0.075  3.75321651e-07           1e+50
                     -2            -2.8           0.125 3.932002642e-07           1e+50
                     -2            -2.8           0.175 3.918720248e-07           1e+50
                     -2            -2.8           0.225 3.842480345e-07           1e+50
                     -2            -2.8           0.275 3.729066433e-07           1e+50
                     -2            -2.8           0.325 3.587141364e-07           1e+50
                     -2            -2.8           0.375 3.421023371e-07           1e+50
                     -2            -2.8           0.425  3.23370464e-07           1e+50
                     -2            -2.8           0.475 3.027783723e-07           1e+50
                     -2            -2.8           0.525 2.805813913e-07           1e+50
                     -2            -2.8           0.575 2.570447214e-07           1e+50
                     -2            -2.8           0.625 2.324502522e-07           1e+50
                     -2            -2.8           0.675 2.070999394e-07           1e+50
                     -2            -2.8           0.725 1.813170992e-07           1e+50
                     -2            -2.8           0.775 1.554464264e-07           1e+50
                     -2            -2.6           0.025           1e+50           1e+50
                     -2            -2.6           0.075 5.331005916e-07           1e+50
                     -2            -2.6           0.125 5.711763592e-07           1e+50
                     -2            -2.6           0.175 5.741297059e-07           1e+50
                     -2            -2.6           0.225 5.666425508e-07           1e+50
                     -2            -2.6           0.275 5.536037897e-07           1e+50
                     -2            -2.6           0.325 5.365771636e-07           1e+50
                     -2            -2.6           0.375 5.162630781e-07           1e+50
                     -2            -2.6           0.425 4.930820577e-07           1e+50
                     -2            -2.6           0.475 4.673551707e-07           1e+50
                     -2            -2.6           0.525 4.393699819e-07           1e+50
                     -2            -2.6           0.575 4.094127166e-07           1e+50
                     -2            -2.6           0.625 3.777743273e-07           1e+50
                     -2            -2.6           0.675 3.447606203e-07           1e+50
                     -2            -2.6           0.725 3.106929393e-07           1e+50
                     -2            -2.6           0.775 2.759061041e-07           1e+50
                     -2            -2.4           0.025           1e+50           1e+50
                     -2            -2.4           0.075 8.320656081e-07           1e+50
                     -2            -2.4           0.125 9.140192266e-07           1e+50
                     -2            -2.4           0.175 9.271909023e-07           1e+50
                     -2            -2.4           0.225 9.213575161e-07           1e+50
