# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Fri Nov 19 14:38:10 2021
#
# Command line:   ./nu -e MUBOONE -f 4 -a PARAM_SCAN --no-ih --bf-spectrum -p DM41,-2.,2.,40,LOGSCALE -p s22thmue,-4.,0.,40,LOGSCALE -p Um4,0.025,0.775,15 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   MUBOONE
# Including the following AEDL files:
#
# AEDL variables:
#
# External analysis routines included:
#   microBooNE
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    40  0x1
#     s22thmue,         -4,          0,    40  0x1
#          Um4,      0.025,      0.775,    15  0x0
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x2
#
# Initializing microBooNE code ...
# Flags in MicroBooNE code: OSC_NO_NUBAR OSC_NO_NUMU 
# General parameter scan
#
#                  DM41        s22thmue             Um4       chi2_NH          chi2_IH
                     -2              -4           0.025     25.00329124           1e+50
                     -2              -4           0.075      25.0033009           1e+50
                     -2              -4           0.125     25.00329864           1e+50
                     -2              -4           0.175     25.00329415           1e+50
                     -2              -4           0.225     25.00328792           1e+50
                     -2              -4           0.275     25.00328007           1e+50
                     -2              -4           0.325     25.00327061           1e+50
                     -2              -4           0.375     25.00325955           1e+50
                     -2              -4           0.425     25.00324691           1e+50
                     -2              -4           0.475     25.00323267           1e+50
                     -2              -4           0.525     25.00321684           1e+50
                     -2              -4           0.575     25.00319942           1e+50
                     -2              -4           0.625     25.00318039           1e+50
                     -2              -4           0.675     25.00315977           1e+50
                     -2              -4           0.725     25.00313753           1e+50
                     -2              -4           0.775     25.00311367           1e+50
                     -2            -3.9           0.025     25.00329176           1e+50
                     -2            -3.9           0.075     25.00330435           1e+50
                     -2            -3.9           0.125     25.00330232           1e+50
                     -2            -3.9           0.175     25.00329788           1e+50
                     -2            -3.9           0.225     25.00329167           1e+50
                     -2            -3.9           0.275     25.00328382           1e+50
                     -2            -3.9           0.325     25.00327435           1e+50
                     -2            -3.9           0.375     25.00326328           1e+50
                     -2            -3.9           0.425     25.00325061           1e+50
                     -2            -3.9           0.475     25.00323635           1e+50
                     -2            -3.9           0.525     25.00322049           1e+50
                     -2            -3.9           0.575     25.00320304           1e+50
                     -2            -3.9           0.625     25.00318398           1e+50
                     -2            -3.9           0.675     25.00316331           1e+50
                     -2            -3.9           0.725     25.00314102           1e+50
                     -2            -3.9           0.775      25.0031171           1e+50
                     -2            -3.8           0.025     25.00329225           1e+50
                     -2            -3.8           0.075     25.00330855           1e+50
                     -2            -3.8           0.125      25.0033068           1e+50
                     -2            -3.8           0.175     25.00330244           1e+50
                     -2            -3.8           0.225     25.00329626           1e+50
                     -2            -3.8           0.275      25.0032884           1e+50
                     -2            -3.8           0.325     25.00327892           1e+50
                     -2            -3.8           0.375     25.00326784           1e+50
                     -2            -3.8           0.425     25.00325515           1e+50
                     -2            -3.8           0.475     25.00324086           1e+50
                     -2            -3.8           0.525     25.00322497           1e+50
