# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Fri Nov 19 14:30:10 2021
#
# Command line:   ./nu -e KARMEN -f 4 -a PARAM_SCAN -t TH24=1.57 -p DM41,-2.0,2.0,80,LOGSCALE -p s22thmue,-4.01,-0.01,80,LOGSCALE 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   KARMEN
# Including the following AEDL files:
#
# AEDL variables:
#
# External analysis routines included:
#   KARMEN
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
#   TH24 = 1.57
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    80  0x1
#     s22thmue,      -4.01,      -0.01,    80  0x1
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x0
#
# Initializing KARMEN and LSND codes ...
# General parameter scan
#
#                  DM41        s22thmue       chi2_NH          chi2_IH
                     -2           -4.01      6.87338146      6.87338146
                     -2           -3.96     6.873382544     6.873382544
                     -2           -3.91      6.87338376      6.87338376
                     -2           -3.86     6.873385124     6.873385124
                     -2           -3.81     6.873386655     6.873386655
                     -2           -3.76     6.873388373     6.873388373
                     -2           -3.71     6.873390301     6.873390301
                     -2           -3.66     6.873392463     6.873392463
                     -2           -3.61     6.873394889     6.873394889
                     -2           -3.56     6.873397612     6.873397612
                     -2           -3.51     6.873400667     6.873400667
                     -2           -3.46     6.873404094     6.873404094
                     -2           -3.41      6.87340794      6.87340794
                     -2           -3.36     6.873412255     6.873412255
                     -2           -3.31     6.873417096     6.873417096
                     -2           -3.26     6.873422528     6.873422528
                     -2           -3.21     6.873428623     6.873428623
                     -2           -3.16     6.873435462     6.873435462
                     -2           -3.11     6.873443135     6.873443135
                     -2           -3.06     6.873451745     6.873451745
                     -2           -3.01     6.873461405     6.873461405
                     -2           -2.96     6.873472244     6.873472244
                     -2           -2.91     6.873484406     6.873484406
                     -2           -2.86     6.873498051     6.873498051
                     -2           -2.81     6.873513362     6.873513362
                     -2           -2.76     6.873530541     6.873530541
                     -2           -2.71     6.873549817     6.873549817
                     -2           -2.66     6.873571444     6.873571444
                     -2           -2.61     6.873595712     6.873595712
                     -2           -2.56      6.87362294      6.87362294
                     -2           -2.51     6.873653492     6.873653492
                     -2           -2.46     6.873687772     6.873687772
                     -2           -2.41     6.873726236     6.873726236
                     -2           -2.36     6.873769394     6.873769394
                     -2           -2.31      6.87381782      6.87381782
                     -2           -2.26     6.873872156     6.873872156
                     -2           -2.21     6.873933125     6.873933125
                     -2           -2.16     6.874001535     6.874001535
                     -2           -2.11     6.874078297     6.874078297
                     -2           -2.06     6.874164429     6.874164429
                     -2           -2.01     6.874261077     6.874261077
                     -2           -1.96     6.874369524     6.874369524
                     -2           -1.91     6.874491213     6.874491213
                     -2           -1.86     6.874627761     6.874627761
                     -2           -1.81     6.874780984     6.874780984
                     -2           -1.76     6.874952921     6.874952921
                     -2           -1.71      6.87514586      6.87514586
                     -2           -1.66     6.875362368     6.875362368
                     -2           -1.61      6.87560533      6.87560533
                     -2           -1.56     6.875877982     6.875877982
                     -2           -1.51     6.876183958     6.876183958
                     -2           -1.46     6.876527338     6.876527338
                     -2           -1.41     6.876912705     6.876912705
                     -2           -1.36     6.877345205     6.877345205
                     -2           -1.31     6.877830617     6.877830617
                     -2           -1.26     6.878375434     6.878375434
                     -2           -1.21      6.87898695      6.87898695
                     -2           -1.16     6.879673359     6.879673359
                     -2           -1.11     6.880443874     6.880443874
                     -2           -1.06     6.881308845     6.881308845
                     -2           -1.01     6.882279913     6.882279913
                     -2           -0.96     6.883370166     6.883370166
                     -2           -0.91     6.884594327     6.884594327
                     -2           -0.86     6.885968961     6.885968961
                     -2           -0.81     6.887512715     6.887512715
                     -2           -0.76     6.889246581     6.889246581
                     -2           -0.71     6.891194206     6.891194206
                     -2           -0.66     6.893382241     6.893382241
                     -2           -0.61     6.895840729     6.895840729
                     -2           -0.56     6.898603565     6.898603565
                     -2           -0.51     6.901709009     6.901709009
                     -2           -0.46     6.905200274     6.905200274
                     -2           -0.41     6.909126211     6.909126211
                     -2           -0.36      6.91354208      6.91354208
                     -2           -0.31     6.918510452     6.918510452
                     -2           -0.26     6.924102244     6.924102244
                     -2           -0.21     6.930397914     6.930397914
                     -2           -0.16      6.93748885      6.93748885
                     -2           -0.11     6.945478979     6.945478979
                     -2           -0.06     6.954486647     6.954486647
                     -2           -0.01     6.964646807     6.964646807
                  -1.95           -4.01     6.873383778     6.873383778
                  -1.95           -3.96     6.873385145     6.873385145
                  -1.95           -3.91     6.873386678     6.873386678
                  -1.95           -3.86     6.873388398     6.873388398
                  -1.95           -3.81     6.873390329     6.873390329
                  -1.95           -3.76     6.873392495     6.873392495
                  -1.95           -3.71     6.873394925     6.873394925
                  -1.95           -3.66     6.873397652     6.873397652
                  -1.95           -3.61     6.873400712     6.873400712
                  -1.95           -3.56     6.873404145     6.873404145
                  -1.95           -3.51     6.873407997     6.873407997
                  -1.95           -3.46     6.873412318     6.873412318
                  -1.95           -3.41     6.873417168     6.873417168
                  -1.95           -3.36     6.873422608     6.873422608
                  -1.95           -3.31     6.873428713     6.873428713
                  -1.95           -3.26     6.873435563     6.873435563
                  -1.95           -3.21     6.873443249     6.873443249
                  -1.95           -3.16     6.873451872     6.873451872
                  -1.95           -3.11     6.873461548     6.873461548
                  -1.95           -3.06     6.873472404     6.873472404
                  -1.95           -3.01     6.873484585     6.873484585
                  -1.95           -2.96     6.873498253     6.873498253
                  -1.95           -2.91     6.873513588     6.873513588
                  -1.95           -2.86     6.873530795     6.873530795
                  -1.95           -2.81     6.873550101     6.873550101
                  -1.95           -2.76     6.873571764     6.873571764
                  -1.95           -2.71      6.87359607      6.87359607
                  -1.95           -2.66     6.873623342     6.873623342
                  -1.95           -2.61     6.873653943     6.873653943
                  -1.95           -2.56     6.873688278     6.873688278
                  -1.95           -2.51     6.873726803     6.873726803
                  -1.95           -2.46     6.873770031     6.873770031
                  -1.95           -2.41     6.873818534     6.873818534
                  -1.95           -2.36     6.873872958     6.873872958
                  -1.95           -2.31     6.873934024     6.873934024
                  -1.95           -2.26     6.874002545     6.874002545
                  -1.95           -2.21      6.87407943      6.87407943
                  -1.95           -2.16       6.8741657       6.8741657
                  -1.95           -2.11     6.874262503     6.874262503
                  -1.95           -2.06     6.874371125     6.874371125
                  -1.95           -2.01     6.874493009     6.874493009
                  -1.95           -1.96     6.874629776     6.874629776
                  -1.95           -1.91     6.874783246     6.874783246
                  -1.95           -1.86     6.874955459     6.874955459
                  -1.95           -1.81     6.875148708     6.875148708
                  -1.95           -1.76     6.875365564     6.875365564
                  -1.95           -1.71     6.875608916     6.875608916
                  -1.95           -1.66     6.875882006     6.875882006
                  -1.95           -1.61     6.876188474     6.876188474
                  -1.95           -1.56     6.876532407     6.876532407
                  -1.95           -1.51     6.876918394     6.876918394
                  -1.95           -1.46     6.877351589     6.877351589
                  -1.95           -1.41     6.877837783     6.877837783
                  -1.95           -1.36     6.878383477     6.878383477
                  -1.95           -1.31     6.878995977     6.878995977
                  -1.95           -1.26     6.879683493     6.879683493
                  -1.95           -1.21     6.880455249     6.880455249
                  -1.95           -1.16     6.881321615     6.881321615
                  -1.95           -1.11      6.88229425      6.88229425
                  -1.95           -1.06     6.883386263     6.883386263
                  -1.95           -1.01     6.884612402     6.884612402
                  -1.95           -0.96     6.885989259     6.885989259
                  -1.95           -0.91     6.887535511     6.887535511
                  -1.95           -0.86     6.889272185     6.889272185
                  -1.95           -0.81      6.89122297      6.89122297
                  -1.95           -0.76     6.893414557     6.893414557
                  -1.95           -0.71     6.895877042     6.895877042
                  -1.95           -0.66     6.898644377     6.898644377
                  -1.95           -0.61     6.901754886     6.901754886
                  -1.95           -0.56     6.905251858     6.905251858
                  -1.95           -0.51     6.909184223     6.909184223
                  -1.95           -0.46      6.91360734      6.91360734
                  -1.95           -0.41     6.918583889     6.918583889
                  -1.95           -0.36      6.92418491      6.92418491
                  -1.95           -0.31     6.930491003     6.930491003
                  -1.95           -0.26     6.937593718     6.937593718
                  -1.95           -0.21     6.945597172     6.945597172
                  -1.95           -0.16     6.954619925     6.954619925
                  -1.95           -0.11     6.964797178     6.964797178
                  -1.95           -0.06     6.976283336     6.976283336
                  -1.95           -0.01     6.989255016     6.989255016
                   -1.9           -4.01     6.873386686     6.873386686
                   -1.9           -3.96     6.873388407     6.873388407
                   -1.9           -3.91     6.873390339     6.873390339
                   -1.9           -3.86     6.873392506     6.873392506
                   -1.9           -3.81     6.873394938     6.873394938
                   -1.9           -3.76     6.873397666     6.873397666
                   -1.9           -3.71     6.873400727     6.873400727
                   -1.9           -3.66     6.873404162     6.873404162
                   -1.9           -3.61     6.873408016     6.873408016
                   -1.9           -3.56      6.87341234      6.87341234
                   -1.9           -3.51     6.873417192     6.873417192
                   -1.9           -3.46     6.873422636     6.873422636
                   -1.9           -3.41     6.873428744     6.873428744
                   -1.9           -3.36     6.873435598     6.873435598
                   -1.9           -3.31     6.873443288     6.873443288
                   -1.9           -3.26     6.873451916     6.873451916
                   -1.9           -3.21     6.873461597     6.873461597
                   -1.9           -3.16     6.873472459     6.873472459
                   -1.9           -3.11     6.873484647     6.873484647
                   -1.9           -3.06     6.873498322     6.873498322
                   -1.9           -3.01     6.873513666     6.873513666
                   -1.9           -2.96     6.873530882     6.873530882
                   -1.9           -2.91       6.8735502       6.8735502
                   -1.9           -2.86     6.873571874     6.873571874
                   -1.9           -2.81     6.873596194     6.873596194
                   -1.9           -2.76     6.873623481     6.873623481
                   -1.9           -2.71     6.873654099     6.873654099
                   -1.9           -2.66     6.873688453     6.873688453
                   -1.9           -2.61        6.873727        6.873727
                   -1.9           -2.56     6.873770251     6.873770251
                   -1.9           -2.51     6.873818782     6.873818782
                   -1.9           -2.46     6.873873236     6.873873236
                   -1.9           -2.41     6.873934336     6.873934336
                   -1.9           -2.36     6.874002894     6.874002894
                   -1.9           -2.31     6.874079822     6.874079822
                   -1.9           -2.26      6.87416614      6.87416614
                   -1.9           -2.21     6.874262997     6.874262997
                   -1.9           -2.16     6.874371679     6.874371679
                   -1.9           -2.11      6.87449363      6.87449363
                   -1.9           -2.06     6.874630474     6.874630474
                   -1.9           -2.01     6.874784028     6.874784028
                   -1.9           -1.96     6.874956337     6.874956337
                   -1.9           -1.91     6.875149693     6.875149693
                   -1.9           -1.86      6.87536667      6.87536667
                   -1.9           -1.81     6.875610158     6.875610158
                   -1.9           -1.76     6.875883399     6.875883399
                   -1.9           -1.71     6.876190037     6.876190037
                   -1.9           -1.66     6.876534161     6.876534161
                   -1.9           -1.61     6.876920362     6.876920362
                   -1.9           -1.56     6.877353799     6.877353799
                   -1.9           -1.51     6.877840263     6.877840263
                   -1.9           -1.46      6.87838626      6.87838626
                   -1.9           -1.41     6.878999101     6.878999101
                   -1.9           -1.36        6.879687        6.879687
                   -1.9           -1.31     6.880459186     6.880459186
                   -1.9           -1.26     6.881326035     6.881326035
                   -1.9           -1.21     6.882299211     6.882299211
                   -1.9           -1.16     6.883391834     6.883391834
                   -1.9           -1.11     6.884618657     6.884618657
                   -1.9           -1.06     6.885996284     6.885996284
                   -1.9           -1.01       6.8875434       6.8875434
                   -1.9           -0.96     6.889281047     6.889281047
                   -1.9           -0.91     6.891232924     6.891232924
                   -1.9           -0.86     6.893425741     6.893425741
                   -1.9           -0.81      6.89588961      6.89588961
                   -1.9           -0.76     6.898658502     6.898658502
                   -1.9           -0.71     6.901770764     6.901770764
                   -1.9           -0.66     6.905269709     6.905269709
                   -1.9           -0.61       6.9092043       6.9092043
                   -1.9           -0.56     6.913629925     6.913629925
                   -1.9           -0.51     6.918609303     6.918609303
                   -1.9           -0.46     6.924213517     6.924213517
                   -1.9           -0.41     6.930523217     6.930523217
                   -1.9           -0.36     6.937630009     6.937630009
                   -1.9           -0.31     6.945638073     6.945638073
                   -1.9           -0.26     6.954666046     6.954666046
                   -1.9           -0.21     6.964849213     6.964849213
                   -1.9           -0.16     6.976342079     6.976342079
                   -1.9           -0.11     6.989321378     6.989321378
                   -1.9           -0.06     7.003989602     7.003989602
                   -1.9           -0.01     7.020579165     7.020579165
                  -1.85           -4.01     6.873390331     6.873390331
                  -1.85           -3.96     6.873392498     6.873392498
                  -1.85           -3.91     6.873394928     6.873394928
                  -1.85           -3.86     6.873397655     6.873397655
                  -1.85           -3.81     6.873400715     6.873400715
                  -1.85           -3.76     6.873404149     6.873404149
                  -1.85           -3.71     6.873408001     6.873408001
                  -1.85           -3.66     6.873412323     6.873412323
                  -1.85           -3.61     6.873417173     6.873417173
                  -1.85           -3.56     6.873422615     6.873422615
                  -1.85           -3.51      6.87342872      6.87342872
                  -1.85           -3.46     6.873435571     6.873435571
                  -1.85           -3.41     6.873443258     6.873443258
                  -1.85           -3.36     6.873451882     6.873451882
                  -1.85           -3.31     6.873461559     6.873461559
                  -1.85           -3.26     6.873472417     6.873472417
                  -1.85           -3.21     6.873484599     6.873484599
                  -1.85           -3.16     6.873498269     6.873498269
                  -1.85           -3.11     6.873513606     6.873513606
                  -1.85           -3.06     6.873530815     6.873530815
                  -1.85           -3.01     6.873550124     6.873550124
                  -1.85           -2.96     6.873571789     6.873571789
                  -1.85           -2.91     6.873596098     6.873596098
                  -1.85           -2.86     6.873623374     6.873623374
                  -1.85           -2.81     6.873653979     6.873653979
                  -1.85           -2.76     6.873688318     6.873688318
                  -1.85           -2.71     6.873726849     6.873726849
                  -1.85           -2.66     6.873770082     6.873770082
                  -1.85           -2.61     6.873818592     6.873818592
                  -1.85           -2.56     6.873873022     6.873873022
                  -1.85           -2.51     6.873934096     6.873934096
                  -1.85           -2.46     6.874002626     6.874002626
                  -1.85           -2.41      6.87407952      6.87407952
                  -1.85           -2.36     6.874165802     6.874165802
                  -1.85           -2.31     6.874262617     6.874262617
                  -1.85           -2.26     6.874371252     6.874371252
                  -1.85           -2.21     6.874493152     6.874493152
                  -1.85           -2.16     6.874629937     6.874629937
                  -1.85           -2.11     6.874783426     6.874783426
                  -1.85           -2.06     6.874955662     6.874955662
                  -1.85           -2.01     6.875148935     6.875148935
                  -1.85           -1.96     6.875365819     6.875365819
                  -1.85           -1.91     6.875609203     6.875609203
                  -1.85           -1.86     6.875882328     6.875882328
                  -1.85           -1.81     6.876188835     6.876188835
                  -1.85           -1.76     6.876532811     6.876532811
                  -1.85           -1.71     6.876918848     6.876918848
                  -1.85           -1.66     6.877352099     6.877352099
                  -1.85           -1.61     6.877838355     6.877838355
                  -1.85           -1.56     6.878384119     6.878384119
                  -1.85           -1.51     6.878996698     6.878996698
                  -1.85           -1.46     6.879684302     6.879684302
                  -1.85           -1.41     6.880456157     6.880456157
                  -1.85           -1.36     6.881322634     6.881322634
                  -1.85           -1.31     6.882295394     6.882295394
                  -1.85           -1.26     6.883387548     6.883387548
                  -1.85           -1.21     6.884613844     6.884613844
                  -1.85           -1.16     6.885990879     6.885990879
                  -1.85           -1.11      6.88753733      6.88753733
                  -1.85           -1.06     6.889274229     6.889274229
                  -1.85           -1.01     6.891225265     6.891225265
                  -1.85           -0.96     6.893417135     6.893417135
                  -1.85           -0.91      6.89587994      6.89587994
                  -1.85           -0.86     6.898647634     6.898647634
                  -1.85           -0.81     6.901758546     6.901758546
                  -1.85           -0.76     6.905255972     6.905255972
                  -1.85           -0.71      6.90918885      6.90918885
                  -1.85           -0.66     6.913612545     6.913612545
                  -1.85           -0.61     6.918589745     6.918589745
                  -1.85           -0.56       6.9241915       6.9241915
                  -1.85           -0.51     6.930498423     6.930498423
                  -1.85           -0.46     6.937602076     6.937602076
                  -1.85           -0.41      6.94560659      6.94560659
                  -1.85           -0.36     6.954630542     6.954630542
                  -1.85           -0.31     6.964809154     6.964809154
                  -1.85           -0.26     6.976296852     6.976296852
                  -1.85           -0.21     6.989270281     6.989270281
                  -1.85           -0.16     7.003931832     7.003931832
