# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Fri Nov 19 14:31:48 2021
#
# Command line:   ./nu -e OPERA -f 4 -a PARAM_SCAN -t TH24=1.57 -p DM41,-2.0,2.0,80,LOGSCALE -p s22thmue,-4.01,-0.01,80,LOGSCALE 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   OPERA
# Including the following AEDL files:
#   opera.glb (version 3.0.0)
#
# AEDL variables:
#
# External analysis routines included:
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
#   TH24 = 1.57
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    80  0x1
#     s22thmue,      -4.01,      -0.01,    80  0x1
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x0
#
# General parameter scan
#
#                  DM41        s22thmue       chi2_NH          chi2_IH
                     -2           -4.01    0.7350876041    0.7338012499
                     -2           -3.96    0.7296882475    0.7282902522
                     -2           -3.91    0.7236874865    0.7221686418
                     -2           -3.86    0.7170264449    0.7153770768
                     -2           -3.81    0.7096426233    0.7078526619
                     -2           -3.76    0.7014702991    0.6995293842
                     -2           -3.71    0.6924411643    0.6903387943
                     -2           -3.66    0.6824852665    0.6802110032
                     -2           -3.61    0.6715323351    0.6690760764
                     -2           -3.56    0.6595135888    0.6568659267
                     -2           -3.51    0.6463641413    0.6435168226
                     -2           -3.46    0.6320261418    0.6289726547
                     -2           -3.41    0.6164528091    0.6131891203
                     -2           -3.36    0.5996135462    0.5961390173
                     -2           -3.31    0.5815003426    0.5778188591
                     -2           -3.26    0.5621357046    0.5582570543
                     -2           -3.21    0.5415823776    0.5375239177
                     -2           -3.16    0.5199551469    0.5157438049
                     -2           -3.11     0.497435033    0.4931096878
                     -2           -3.06    0.4742862075    0.4699004995
                     -2           -3.01    0.4508759729    0.4465015948
                     -2           -2.96    0.4276981502    0.4234286684
                     -2           -2.91    0.4054002103    0.4013554656
                     -2           -2.86    0.3848144637    0.3811455958
                     -2           -2.81    0.3669935791    0.3638887127
                     -2           -2.76    0.3532506411    0.3509412578
                     -2           -2.71    0.3452038579    0.3439718618
                     -2           -2.66    0.3448258933    0.3450113545
                     -2           -2.61    0.3544976129    0.3565071351
                     -2           -2.56    0.3770657704    0.3813813845
                     -2           -2.51    0.4159038217    0.4230922439
                     -2           -2.46    0.4749745991     0.485696609
                     -2           -2.41    0.5588929991    0.5739125914
                     -2           -2.36    0.6729861009    0.6931789341
                     -2           -2.31    0.8233472282     0.849707737
                     -2           -2.26     1.016879368     1.050525719
                     -2           -2.21     1.261322062      1.30349792
                     -2           -2.16     1.565254397      1.61732621
                     -2           -2.11     1.938065007      2.00151327
                     -2           -2.06     2.389878203     2.466280848
                     -2           -2.01     2.931423396     3.022429197
                     -2           -1.96      3.57383317     3.681122775
                     -2           -1.91     4.328353847     4.453585917
                     -2           -1.86     5.205951677     5.350691596
                     -2           -1.81     6.216798528      6.38242752
                     -2           -1.76     7.369624403     7.557227745
                     -2           -1.71     8.670931777     8.881166571
                     -2           -1.66     10.12408122      10.3570272
                     -2           -1.61     11.72828187      11.9832835
                     -2           -1.56     13.47755712     13.75307225
                     -2           -1.51     15.35980721     15.65328641
                     -2           -1.46     17.35615208     17.66398261
                     -2           -1.41     19.44079653     19.75835127
                     -2           -1.36     21.58168175     21.90351055
                     -2           -1.31     23.74212444     24.06230382
                     -2           -1.26     25.88344759     26.19606177
                     -2           -1.21     27.96828431     28.26795536
                     -2           -1.16     29.96390471     30.24625185
                     -2           -1.11     31.84478425     32.10670301
                     -2           -1.06     33.59384617      33.8335605
                     -2           -1.01     35.20228387      35.4192035
                     -2           -0.96     36.66832246     36.86278744
                     -2           -0.91      37.9954782     38.16847605
                     -2           -0.86     39.19080385     39.34371735
                     -2           -0.81     40.26340773      40.3978189
                     -2           -0.76     41.22334433     41.34089643
                     -2           -0.71     42.08085564     42.18316405
                     -2           -0.66     42.84589305     42.93449237
                     -2           -0.61     43.52784205     43.60415823
                     -2           -0.56     44.13538386     44.20072258
                     -2           -0.51     44.67644471     44.73198973
                     -2           -0.46     45.15819824      45.2050156
                     -2           -0.41     45.58709835     45.62614371
                     -2           -0.36     45.96892792     46.00105531
                     -2           -0.31     46.30885436     46.33482541
                     -2           -0.26     46.61148664     46.63197957
                     -2           -0.21     46.88093067     46.89654882
                     -2           -0.16     47.12084141     47.13212106
                     -2           -0.11     47.33447097     47.34188824
                     -2           -0.06     47.52471255     47.52868909
                     -2           -0.01     47.69414239     47.69504495
                  -1.95           -4.01    0.7263571187    0.7249899511
                  -1.95           -3.96    0.7199796471    0.7184992863
                  -1.95           -3.91    0.7129038673    0.7113017283
                  -1.95           -3.86    0.7050646201    0.7033318409
                  -1.95           -3.81    0.6963936724    0.6945212259
                  -1.95           -3.76    0.6868204805    0.6847993289
                  -1.95           -3.71     0.676273293    0.6740945965
                  -1.95           -3.66    0.6646806866    0.6623360765
                  -1.95           -3.61    0.6519736364      0.64945557
                  -1.95           -3.56    0.6380882536    0.6353904659
                  -1.95           -3.51    0.6229693351    0.6200874098
                  -1.95           -3.46    0.6065749026     0.603506984
                  -1.95           -3.41    0.5888819303    0.5856296032
                  -1.95           -3.36    0.5698934895    0.5664628569
                  -1.95           -3.31    0.5496475652    0.5460505572
                  -1.95           -3.26    0.5282278299    0.5244837795
                  -1.95           -3.21    0.5057766816    0.5019142073
                  -1.95           -3.16    0.4825108772    0.4785701135
                  -1.95           -3.11    0.4587401079    0.4547753281
                  -1.95           -3.06    0.4348888727    0.4309715465
                  -1.95           -3.01    0.4115220017    0.4077443324
                  -1.95           -2.96    0.3893741697    0.3858531507
                  -1.95           -2.91     0.369383703    0.3662657287
                  -1.95           -2.86    0.3527309306    0.3501969901
                  -1.95           -2.81    0.3408812453    0.3391527112
                  -1.95           -2.76    0.3356329186    0.3349779267
                  -1.95           -2.71    0.3391695425    0.3399099315
                  -1.95           -2.66    0.3541167399    0.3566354823
                  -1.95           -2.61    0.3836024717    0.3883514812
